country,import_leisure,import_politics,import_work,goals_parents_proud,men_political_leaders,univ_boy_girl,happiness,health,freedom,standard_of_living,trust,confidence_gov,confidence_univ,everyone_provided,corrupt,sci_tech_life,sci_not_important,age,age_3cat,highest_edu_3cat,income_3cat
CHN,very important,very important,very important,strongly agree,strongly agree,strongly disagree,very happy,fair,7,better off,most people can be trusted,a great deal,a great deal,10,5,9,7,64,50 years and over,lower,medium
CHN,rather important,not very important,rather important,strongly agree,disagree,disagree,rather happy,very good,9,better off,most people can be trusted,quite a lot,quite a lot,1,1,10,2,38,30-49 years,middle,medium
CHN,rather important,not very important,rather important,agree,disagree,disagree,rather happy,good,5,better off,most people can be trusted,a great deal,a great deal,4,5,10,1,30,30-49 years,middle,medium
CHN,not at all important,very important,not at all important,strongly agree,strongly disagree,strongly disagree,very happy,fair,10,better off,need to be very careful,a great deal,a great deal,10,6,10,1,62,50 years and over,lower,medium
CHN,rather important,rather important,very important,agree,agree,disagree,very happy,very good,6,better off,most people can be trusted,a great deal,quite a lot,9,10,10,1,45,30-49 years,middle,medium
CHN,rather important,very important,not very important,strongly agree,strongly agree,disagree,rather happy,fair,5,better off,need to be very careful,a great deal,a great deal,1,6,10,10,64,50 years and over,lower,medium
CHN,very important,very important,very important,strongly agree,agree,disagree,very happy,good,10,better off,need to be very careful,a great deal,a great deal,1,7,10,1,63,50 years and over,lower,low
CHN,rather important,very important,very important,disagree,disagree,strongly disagree,very happy,good,NA,better off,most people can be trusted,a great deal,a great deal,1,7,10,1,45,30-49 years,lower,medium
CHN,rather important,rather important,rather important,agree,disagree,disagree,rather happy,fair,3,better off,most people can be trusted,a great deal,quite a lot,9,5,10,1,37,30-49 years,lower,medium
CHN,very important,very important,very important,agree,disagree,disagree,rather happy,poor,5,better off,most people can be trusted,a great deal,quite a lot,5,7,9,1,68,50 years and over,lower,low
CHN,very important,rather important,rather important,agree,agree,disagree,not very happy,good,8,better off,most people can be trusted,quite a lot,quite a lot,9,9,10,1,62,50 years and over,lower,medium
CHN,not very important,rather important,rather important,disagree,agree,disagree,rather happy,very good,8,better off,most people can be trusted,a great deal,a great deal,1,7,5,3,29,16-29 years,lower,medium
CHN,not very important,rather important,not very important,agree,agree,disagree,very happy,very good,10,better off,most people can be trusted,a great deal,a great deal,7,10,10,1,50,50 years and over,middle,medium
