year,institution_name,city_txt,state_cd,classification_name,ef_total_count,sector_name,partic_men,partic_women,total_exp_menwomen,exp_ratio,sports
2019,Valparaiso University,Valparaiso,IN,NCAA Division I-FCS,2924,Private nonprofit,14,15,3781362,1.8443119582803977,Basketball
2019,Drake University,Des Moines,IA,NCAA Division I-FCS,2825,Private nonprofit,17,23,5404988,1.2461643697282032,Basketball
2019,University of Northern Iowa,Cedar Falls,IA,NCAA Division I-FCS,8216,Public,18,29,4493775,2.6370615215397826,Basketball
2019,Eastern Kentucky University,Richmond,KY,NCAA Division I-FCS,9904,Public,16,15,2437620,1.4307870575811394,Basketball
2019,Morehead State University,Morehead,KY,NCAA Division I-FCS,5217,Public,13,13,2143664,1.1714036820380358,Basketball
2019,Murray State University,Murray,KY,NCAA Division I-FCS,6127,Public,13,13,3681897,2.2682798443040952,Basketball
2019,Grambling State University,Grambling,LA,NCAA Division I-FCS,3813,Public,19,18,1823378,1.290347864753038,Basketball
2019,McNeese State University,Lake Charles,LA,NCAA Division I-FCS,5231,Public,17,14,2058550,1.6573696487606773,Basketball
2019,Nicholls State University,Thibodaux,LA,NCAA Division I-FCS,4971,Public,16,14,1585269,1.1483928411705873,Basketball
2019,Northwestern State University of Louisiana,Natchitoches,LA,NCAA Division I-FCS,6196,Public,25,16,2037236,1.0510333010159343,Basketball
2019,Southeastern Louisiana University,Hammond,LA,NCAA Division I-FCS,9240,Public,15,15,2012342,1.229346597833071,Basketball
2019,Southern University and A & M College,Baton Rouge,LA,NCAA Division I-FCS,4873,Public,18,16,1699889,0.943072266433178,Basketball
2019,University of Maine,Orono,ME,NCAA Division I-FCS,8028,Public,15,14,3050177,1.077787155660824,Basketball
2019,Morgan State University,Baltimore,MD,NCAA Division I-FCS,5756,Public,23,18,2615778,1.4829854548871788,Basketball
2019,Towson University,Towson,MD,NCAA Division I-FCS,17171,Public,17,18,4383954,1.2225492765739125,Basketball
2019,Harvard University,Cambridge,MA,NCAA Division I-FCS,6985,Private nonprofit,19,14,2541837,1.5012344609946735,Basketball
2019,College of the Holy Cross,Worcester,MA,NCAA Division I-FCS,2931,Private nonprofit,15,13,4141124,1.291449734313778,Basketball
2019,Merrimack College,North Andover,MA,NCAA Division I-FCS,3883,Private nonprofit,15,20,2639125,1.1117696575718439,Basketball
2019,Alcorn State University,Alcorn State,MS,NCAA Division I-FCS,2643,Public,17,15,1103564,0.9894754110773192,Basketball
2019,Jackson State University,Jackson,MS,NCAA Division I-FCS,4123,Public,21,15,1502289,1.1088457624144588,Basketball
2019,Mississippi Valley State University,Itta Bena,MS,NCAA Division I-FCS,1415,Public,15,14,920886,1.1356502944129945,Basketball
2019,Southeast Missouri State University,Cape Girardeau,MO,NCAA Division I-FCS,7056,Public,15,19,2351485,1.448754423198282,Basketball
2019,Missouri State University-Springfield,Springfield,MO,NCAA Division I-FCS,13939,Public,16,31,4626761,1.5477450163048685,Basketball
2019,Montana State University,Bozeman,MT,NCAA Division I-FCS,12275,Public,15,19,3591233,0.993765930077819,Basketball
2019,The University of Montana,Missoula,MT,NCAA Division I-FCS,6123,Public,16,13,3848253,1.8246276955327867,Basketball
2019,Dartmouth College,Hanover,NH,NCAA Division I-FCS,4363,Private nonprofit,18,37,2035205,1.2598072417583637,Basketball
2019,University of New Hampshire-Main Campus,Durham,NH,NCAA Division I-FCS,11900,Public,14,16,2982484,1.180511496273919,Basketball
