NEWID,BLS_URBN,CUTENURE,HIGH_EDU,FAM_SIZE,FINCBEFX,FRSHVEG,FRSHFRUT,FOODTOT,FOODAWAY,FOODHOME
04732722,1,4,14,1,38003,0,0,88.64,88.64,0
04732781,1,1,13,3,30924,2.16657,4.38991,128,0,128
04732782,1,1,13,3,30924,0,0,0,0,0
04732791,1,2,14,1,0,9.03417,16.13185,399.99996,100,299.99996
04732792,1,2,14,1,0,13.57131,14.43953,425,125,300
04732801,1,4,15,1,100000,0,0,27.36,7.29,20.07
04732802,1,4,15,1,100000,8.08,8.09,114.32,0,114.32
04732811,1,4,14,2,28800,5.44,0,71.83,0,71.83
04732812,1,4,14,2,28800,2.97,0,105.94,0,105.94
04732842,1,4,14,3,0,0,0,43.88,43.88,0
04732861,1,1,15,2,0,0,0,0,0,0
04732862,1,1,15,2,0,0,0,20.06,20.06,0
04732881,1,1,13,2,117160,0.83,2.31,93.54,34,59.54
04732882,1,1,13,2,117160,12.34,12.95,115.36,0,115.36
04732891,1,2,16,1,2,5.43,5.49,35.08,0,35.08
04732892,1,2,16,1,2,0,0,43.14,0,43.14
04732921,1,1,15,4,0,14,0,346.29,0,346.29
04732922,1,1,15,4,0,23.78,4.32,75.03,15.91,59.12
04732931,1,1,16,4,152000,2.61897,5.31348,165.52998,89.33,76.19998
04732932,1,1,16,4,152000,7.02672,4.29597,242.05,78.77,163.28
04733071,1,1,15,1,55000,0,0,187.6722,162.0422,25.63
04733072,1,1,15,1,55000,4.63561,22.55294,219.98999,64.47,155.51999
04733091,1,4,11,1,9735,0,0,114,0,114
04733092,1,4,11,1,9735,0,0,0,0,0
04733101,1,1,16,2,72000,0,0,0,0,0
04733102,1,1,16,2,72000,27.64,0,82.77,0,82.77
04733111,1,1,12,6,100000,23.81,13.64,281.82,115.62,166.2
04733112,1,1,12,6,100000,0,0,45.74,37.4,8.34
04733161,1,4,12,1,8000,2.01449,7.00791,160.00001,105,55.00001
04733162,1,4,12,1,8000,0,0,55,55,0
04733181,1,1,14,2,89600,0,8.71,155.46,70.22,85.24
04733182,1,1,14,2,89600,16.38,4.17,123.98,34.87,89.11
04733231,1,1,13,2,85000,0,0,51.36,30,21.36
04733232,1,1,13,2,85000,0,0,26.08,0,26.08
04733261,1,1,12,2,33364,0.86,0,183.52,107.2,76.32
04733262,1,1,12,2,33364,7.25,8.03,93.41,10.6,82.81
04733271,1,4,15,1,1782,0,0,157.84001,87.31,70.53001
04733272,1,4,15,1,1782,0,0,48.92,4.5,44.42
04733291,1,4,16,2,323000,16.51108,11.54948,307.32001,89,218.32001
04733292,1,4,16,2,323000,54.88,0,200.66,42.51,158.15
04733301,1,4,12,1,59382,0.89,6.14,84.65,28.65,56
04733302,1,4,12,1,59382,0,0,80.44,9.49,70.95
04733361,1,1,15,5,215000,0,0,0,0,0
04733362,1,1,15,5,215000,0,0,0,0,0
04733371,2,1,14,2,21000,0,3.33892,13,0,13
04733372,2,1,14,2,21000,0,0,0,0,0
04733401,1,4,13,1,6104,0,0,58.44,0,58.44
04733402,1,4,13,1,6104,0,0,10.56,0,10.56
04733411,1,1,16,4,452492,32.28,17.88,490.15,63.53,426.62
04733412,1,1,16,4,452492,34.49,6.24,137.97,0,137.97
04733521,1,2,11,1,101000,3,8.97,235.91,200,35.91
